.model,date,.rep,patients,Specialty
combination,2023-09-01,1,2238.6902715930414,Cardiology
combination,2023-10-01,1,2343.190223084363,Cardiology
combination,2023-11-01,1,2416.1902053033564,Cardiology
combination,2023-12-01,1,2413.8484186759715,Cardiology
combination,2024-01-01,1,2510.1495571945957,Cardiology
combination,2024-02-01,1,2469.7213336658774,Cardiology
combination,2024-03-01,1,2522.172027384877,Cardiology
combination,2024-04-01,1,2525.0378077120804,Cardiology
combination,2024-05-01,1,2641.017176280439,Cardiology
combination,2024-06-01,1,2623.4086390247057,Cardiology
combination,2024-07-01,1,2649.3164715921257,Cardiology
combination,2024-08-01,1,2663.3257527857977,Cardiology
combination,2023-09-01,10,2273.6818666546897,Cardiology
combination,2023-10-01,10,2406.53000155804,Cardiology
combination,2023-11-01,10,2443.3115457331132,Cardiology
combination,2023-12-01,10,2415.0609268086746,Cardiology
combination,2024-01-01,10,2480.652782540727,Cardiology
combination,2024-02-01,10,2567.567932241308,Cardiology
combination,2024-03-01,10,2633.368969814997,Cardiology
combination,2024-04-01,10,2663.2627766124333,Cardiology
combination,2024-05-01,10,2643.750434830933,Cardiology
combination,2024-06-01,10,2741.732966474815,Cardiology
combination,2024-07-01,10,2709.614164866809,Cardiology
combination,2024-08-01,10,2736.8041536715546,Cardiology
combination,2023-09-01,11,2213.2436221763155,Cardiology
combination,2023-10-01,11,2320.9388154665276,Cardiology
combination,2023-11-01,11,2382.6254594622524,Cardiology
combination,2023-12-01,11,2444.198348130647,Cardiology
combination,2024-01-01,11,2482.26974527757,Cardiology
combination,2024-02-01,11,2567.6809999741336,Cardiology
combination,2024-03-01,11,2509.1936338222145,Cardiology
combination,2024-04-01,11,2615.0891219795185,Cardiology
combination,2024-05-01,11,2647.6373800283773,Cardiology
combination,2024-06-01,11,2725.2436075206087,Cardiology
combination,2024-07-01,11,2745.1204510579137,Cardiology
combination,2024-08-01,11,2718.7802338061642,Cardiology
combination,2023-09-01,12,2261.413678694552,Cardiology
combination,2023-10-01,12,2383.007286064241,Cardiology
combination,2023-11-01,12,2444.2649382184695,Cardiology
combination,2023-12-01,12,2410.0551609500535,Cardiology
combination,2024-01-01,12,2464.8449412711934,Cardiology
combination,2024-02-01,12,2493.559357764926,Cardiology
combination,2024-03-01,12,2494.6088895593857,Cardiology
combination,2024-04-01,12,2542.5957973253103,Cardiology
combination,2024-05-01,12,2544.752052261324,Cardiology
combination,2024-06-01,12,2607.9643650099338,Cardiology
combination,2024-07-01,12,2684.112081960164,Cardiology
combination,2024-08-01,12,2684.2799547961404,Cardiology
combination,2023-09-01,13,2274.671207440762,Cardiology
combination,2023-10-01,13,2366.3310623864045,Cardiology
combination,2023-11-01,13,2479.455311071273,Cardiology
combination,2023-12-01,13,2501.85859022392,Cardiology
combination,2024-01-01,13,2478.5854112798957,Cardiology
combination,2024-02-01,13,2622.624910269919,Cardiology
combination,2024-03-01,13,2607.1722511431626,Cardiology
combination,2024-04-01,13,2666.9801295711777,Cardiology
combination,2024-05-01,13,2654.8569850129797,Cardiology
combination,2024-06-01,13,2739.994686737381,Cardiology
combination,2024-07-01,13,2773.9601774608823,Cardiology
combination,2024-08-01,13,2829.955989540249,Cardiology
combination,2023-09-01,14,2229.6123212133143,Cardiology
combination,2023-10-01,14,2365.005314597607,Cardiology
combination,2023-11-01,14,2371.0976490599337,Cardiology
combination,2023-12-01,14,2452.7963503292863,Cardiology
combination,2024-01-01,14,2425.4105216354137,Cardiology
combination,2024-02-01,14,2529.5591619217457,Cardiology
combination,2024-03-01,14,2545.5424712704908,Cardiology
combination,2024-04-01,14,2667.9838671196944,Cardiology
combination,2024-05-01,14,2642.751369419745,Cardiology
combination,2024-06-01,14,2690.167109135186,Cardiology
combination,2024-07-01,14,2778.8931100021664,Cardiology
combination,2024-08-01,14,2826.977822359603,Cardiology
combination,2023-09-01,15,2228.8306437441925,Cardiology
combination,2023-10-01,15,2313.2495344186746,Cardiology
combination,2023-11-01,15,2441.9188061055547,Cardiology
combination,2023-12-01,15,2423.1065760124234,Cardiology
combination,2024-01-01,15,2541.636316729874,Cardiology
combination,2024-02-01,15,2487.8112762984956,Cardiology
combination,2024-03-01,15,2568.2515218923245,Cardiology
combination,2024-04-01,15,2641.968862473691,Cardiology
combination,2024-05-01,15,2702.653392573573,Cardiology
combination,2024-06-01,15,2730.9650293224418,Cardiology
combination,2024-07-01,15,2780.1292897432345,Cardiology
combination,2024-08-01,15,2792.2426913128347,Cardiology
combination,2023-09-01,16,2306.3536604836954,Cardiology
combination,2023-10-01,16,2403.9210687427126,Cardiology
combination,2023-11-01,16,2482.1058772386496,Cardiology
combination,2023-12-01,16,2489.8350994946554,Cardiology
combination,2024-01-01,16,2532.306362920123,Cardiology
combination,2024-02-01,16,2617.3703888248065,Cardiology
combination,2024-03-01,16,2596.9790344761686,Cardiology
combination,2024-04-01,16,2668.8884543692707,Cardiology
combination,2024-05-01,16,2761.811677435735,Cardiology
combination,2024-06-01,16,2761.7919078335854,Cardiology
combination,2024-07-01,16,2823.6089092703915,Cardiology
combination,2024-08-01,16,2752.920750894386,Cardiology
combination,2023-09-01,17,2297.2191044077254,Cardiology
combination,2023-10-01,17,2341.674560217416,Cardiology
combination,2023-11-01,17,2451.676655811438,Cardiology
combination,2023-12-01,17,2404.339775205577,Cardiology
combination,2024-01-01,17,2497.3694707237764,Cardiology
combination,2024-02-01,17,2491.247049272223,Cardiology
combination,2024-03-01,17,2552.0904950627337,Cardiology
combination,2024-04-01,17,2656.8980759008887,Cardiology
combination,2024-05-01,17,2667.2799763777034,Cardiology
combination,2024-06-01,17,2689.1457354631975,Cardiology
combination,2024-07-01,17,2763.0184167514317,Cardiology
combination,2024-08-01,17,2703.2775877809036,Cardiology
combination,2023-09-01,18,2216.8081086088823,Cardiology
combination,2023-10-01,18,2360.2085792071266,Cardiology
combination,2023-11-01,18,2425.407386708721,Cardiology
combination,2023-12-01,18,2450.9715428734253,Cardiology
combination,2024-01-01,18,2503.9107891741646,Cardiology
combination,2024-02-01,18,2543.3459143448,Cardiology
combination,2024-03-01,18,2529.594626672473,Cardiology
combination,2024-04-01,18,2596.0429737187783,Cardiology
combination,2024-05-01,18,2676.1437871853013,Cardiology
combination,2024-06-01,18,2713.5835839387983,Cardiology
combination,2024-07-01,18,2749.8613054582706,Cardiology
